                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.67552,                0.46675,                 1.0651,                0.96737,                0.92438,                 0.9692,                0.81107,                0.71333,                0.45148,                 1.0765,               0.070316,              0.0032982,              0.0032982
                      1,                0.68458,                0.47031,                 1.0673,                0.95363,                0.91874,                 0.9629,                0.78924,                0.74821,                 0.4865,                  1.094,                0.04025,              0.0065659,              0.0065659
                      2,                0.69723,                0.49233,                 1.0786,                0.92684,                0.89863,                0.94377,                0.74671,                0.87257,                   0.57,                 1.1934,               0.010118,              0.0097676,              0.0097676
                      3,                0.73734,                0.51128,                 1.0977,                0.93167,                0.81657,                0.91636,                0.68569,                0.96836,                 0.6979,                 1.2408,               0.009703,               0.009703,               0.009703
                      4,                0.75646,                0.52897,                 1.1049,                0.94776,                0.90497,                0.95247,                0.76016,                0.83826,                0.54195,                  1.158,               0.009703,               0.009703,               0.009703
                      5,                0.76263,                0.53517,                   1.11,                0.91243,                0.90535,                0.94702,                 0.7447,                0.85418,                0.58872,                 1.1571,               0.009604,               0.009604,               0.009604
                      6,                0.77299,                  0.542,                 1.1191,                0.93946,                0.87386,                0.94715,                0.74166,                0.88131,                0.59535,                 1.1775,               0.009505,               0.009505,               0.009505
                      7,                0.77067,                0.54226,                 1.1177,                0.93314,                0.89826,                0.95317,                0.74708,                0.85011,                0.57952,                 1.1622,               0.009406,               0.009406,               0.009406
                      8,                0.77445,                0.53566,                 1.1189,                0.93926,                 0.8753,                0.94401,                0.74899,                0.84376,                0.58103,                 1.1463,               0.009307,               0.009307,               0.009307
                      9,                0.77749,                0.55908,                 1.1232,                0.94705,                0.88174,                0.95365,                 0.7549,                0.83378,                0.55566,                   1.14,               0.009208,               0.009208,               0.009208
                     10,                0.79501,                 0.5608,                 1.1336,                0.93913,                0.92599,                0.96734,                0.75417,                 0.8558,                0.52339,                 1.1672,               0.009109,               0.009109,               0.009109
                     11,                0.76203,                0.54181,                 1.1069,                0.94411,                 0.8834,                0.94427,                0.74014,                0.87107,                0.55588,                 1.1933,                0.00901,                0.00901,                0.00901
                     12,                0.78542,                0.55076,                 1.1221,                0.90225,                0.84655,                0.92572,                 0.7034,                0.93669,                0.66337,                 1.2127,               0.008911,               0.008911,               0.008911
                     13,                0.76172,                0.53923,                 1.1075,                 0.9305,                0.90483,                0.94878,                0.74573,                0.86165,                0.56067,                 1.1684,               0.008812,               0.008812,               0.008812
                     14,                0.78898,                0.55441,                 1.1297,                0.92468,                  0.893,                0.94426,                0.74267,                0.87018,                  0.585,                 1.1619,               0.008713,               0.008713,               0.008713
                     15,                0.77747,                0.54048,                 1.1194,                0.93391,                0.90265,                 0.9516,                0.75649,                0.84393,                0.53935,                 1.1608,               0.008614,               0.008614,               0.008614
                     16,                0.77305,                0.55265,                 1.1102,                0.92378,                0.88496,                0.94677,                 0.7467,                0.84804,                0.56979,                 1.1563,               0.008515,               0.008515,               0.008515
                     17,                0.75739,                0.53362,                 1.1044,                0.91932,                0.90755,                0.95622,                0.76335,                0.82358,                0.55085,                 1.1391,               0.008416,               0.008416,               0.008416
                     18,                0.75803,                0.52969,                 1.1008,                0.92495,                0.89231,                0.94349,                0.74153,                0.86722,                0.59193,                 1.1666,               0.008317,               0.008317,               0.008317
                     19,                0.75546,                0.52798,                 1.0972,                0.93557,                0.89958,                0.95373,                0.76346,                  0.818,                 0.5493,                 1.1396,               0.008218,               0.008218,               0.008218
                     20,                0.76441,                0.52923,                 1.1089,                0.93511,                0.89273,                0.94473,                0.74451,                 0.8696,                 0.5792,                 1.1654,               0.008119,               0.008119,               0.008119
                     21,                0.77314,                0.55043,                 1.1176,                0.94263,                0.91213,                0.96141,                 0.7502,                0.85663,                0.53755,                 1.1592,                0.00802,                0.00802,                0.00802
